"time_posttest","grade_posttest","gender","age","academic_level","academic_field","parents_education","sport","Sports","grouped_academic_field","time_pretest","grade_pretest","comfort_before","comfort_after","comfort_explanation","confidence","perceived_learning","learning_explanation","comments","group","academic_level_compressed","science","CS","correct","algorithmic","graph_used"
397,8,"Female","More than 25 years old","Master","Computer Science","University","Nooo","0 times a week","CS and Math",171,1.2,1,4,"I didnt know the rules to find the shortest path and I just put blank answers before. Then, I followed the algorithm and was more comfortable with my answers.","Not Confident at All","Definitely","Yes, the algorithm was very well explained. I followed the directions and used it later to do the exercise in a similar way. The voice was very clear and the slides (and images) were easy to follow.","It took me some time to draw the graph and table due to the city names im not used to. It was harder for me to keep track of them than just easier ones. But overall made me concentrate harder.","IPS",1,1,1,1,1,1
726,5.9,"Male","18-22 years old","Bachelor","Life Sciences Engineering","University","Gym 3-4 times a week","2+ times a week","Other Engineering Field",829,4,2,4,"Simply because i don't know how Dijkstra's algorithm works !","Somewhat Confident","Kind of","The video provided an explanation of what Dijkstra's algorithm is and how it works","-","IPS",0,1,0,1,1,0
515,8,"Female","23-25 years old","Master","Neuro-X","University","yes, pilates once a week","1ce a week","Other Engineering Field",234,4,1,3,"I didn't know anything before, so I just answered intuitively. Afterwards, I got confused by some phrasing in the questions ""after visiting node G ..."" the one I failed, I was not sure if that meant we were still on node A or if we were already on node G and had to investigate edges","Confident","Kind of","I had the impression that the activity didn't allow me to apply the newly learned algorithm, as in 20 minutes I just had the time to draw the graph and start excluding the clear not possible routes (to avoid having a super big matrix i wouldn't be able to look at in the given time)","-","IPS",1,1,0,1,1,1
408,9,"Female","18-22 years old","Bachelor","Mathematics","University","No","0 times a week","CS and Math",947,5.5,2,4,"I didn't know what we meant by tentative distance and how the algorithm proceeded","Not Very Confident","Kind of","It seems to me that the algorithm finds the best path because it goes through all of them, i would have liked to see if it actually is an optimal algorithm for this problem.","-","IPS",0,1,0,1,1,0
133,5.8,"Female","More than 25 years old","PhD","Medicine","University","Gyming 4 times a week","2+ times a week","Non-Engineering Field",733,4,1,4,"The lesson helped me better understand how the algorithm works and how to think about problems effectively.","Not Very Confident","Definitely","Yes, the activities really gave me the chance to apply the information from the videos. The video was very detailed but not confusing for someone without a computer science background.","-","IPS",2,1,0,0,0,0
140,7,"Male","18-22 years old","Bachelor","Mechanical Engineering","University","Fitness 4x a week, random sport weekly","2+ times a week","Other Engineering Field",299,4.6,2,4,"I learned by doing and watching the video","Somewhat Confident","Definitely","I wanted to learn, i didnt feel as if i had to. makes it a lot more enjoyable","-","IPS",0,1,0,1,1,1
234,5.5,"Male","23-25 years old","Master","Engineering and Entrepreneurship","University","Workout 4 times a week","2+ times a week","Other Engineering Field",335,6,4,1,"The only reason I changed my answer the second time around is because I wasn't paying enough attention the first time, so I sort of warmed up my brain by that point. For the questions I got wrong it was more because I didn't know what certain words meant like ""tentative""","Confident","Not so sure","I think the lesson was at such a high level, that I was thrown off when I first saw it. I also feel like the ""official"" method is slower in practice than just counting it. So I just counted it because it was easier.","This is very tricky. I don't think my results are really very indicative of learning anything because I completely ignored what I learned. I think you should pick a more complicated question that means that you have no other choice than to implement what you learn. But also, I'm not sure who this experiment is targeted to, but even as an engineering student I really had to pay attention to the lesson otherwise I wouldn't have any idea what was going on. Either make the lesson simpler to match the question, or make the questions more complicated to match the lesson. Also, I could have probably answered more questions correctly if you explained terminology more clearly. (Like I still don't know what ""tentative"" means after this experiment)","IPS",1,1,0,1,1,1
350,8,"Female","23-25 years old","Master","Computer Science","University","No","0 times a week","CS and Math",613,6.5,2,5,"I was answering with common sense, but after the activity, I was more confident in my knowledge.","Very Confident","Definitely","In the lesson, I liked the Example of how to approach and solve finding shortest path problem and I was trying to formulate the technique but then at the end of the video, the technique was mentioned confirming my observation throughout the video. The lesson is generally made me very confident.","No thanks!","IPS",1,1,1,1,1,1
322,6.2,"Male","18-22 years old","Bachelor","Microengineering","University","Football - every week","1ce a week","Other Engineering Field",655,4.9,3,4,"the activity made the abstract concept more intuitive","Somewhat Confident","Kind of","I still followed my first instinct when answering, the activity helped me confirm and justify my choices more confidently","-","IPS",0,1,0,1,1,1
171,2.5,"Female","18-22 years old","Bachelor","Microengineering","University","-","-","Other Engineering Field",438,1,1,2,"-","Not Confident at All","Kind of","-","-","IPS",0,1,0,1,1,1
